1/25/20 , AL , 	0 ,  0
1/25/20 , AR , 	0 ,  0
1/25/20 , AZ , 	0 ,  0
1/25/20 , CA , 	0 ,  0
1/25/20 , CO , 	0 ,  0
1/25/20 , CT , 	0 ,  0
1/25/20 , DE , 	0 ,  0
1/25/20 , FL , 	0 ,  0
1/25/20 , GA , 	0 ,  0
1/25/20 , HI , 	0 ,  0
1/25/20 , IA , 	0 ,  0
1/25/20 , ID , 	0 ,  0
1/25/20 , IL , 	1 ,  0
1/25/20 , IN , 	0 ,  0
1/25/20 , KS , 	0 ,  0
1/25/20 , KY , 	0 ,  0
1/25/20 , LA , 	0 ,  0
1/25/20 , MA , 	0 ,  0
1/25/20 , MD , 	0 ,  0
1/25/20 , ME , 	0 ,  0
1/25/20 , MI , 	0 ,  0
1/25/20 , MN , 	0 ,  0
1/25/20 , MO , 	0 ,  0
1/25/20 , MS , 	0 ,  0
1/25/20 , MT , 	0 ,  0
1/25/20 , NC , 	0 ,  0
1/25/20 , ND , 	0 ,  0
1/25/20 , NE , 	0 ,  0
1/25/20 , NH , 	0 ,  0
1/25/20 , NJ , 	0 ,  0
1/25/20 , NM , 	0 ,  0
1/25/20 , NV , 	0 ,  0
1/25/20 , NY , 	0 ,  0
1/25/20 , OH , 	0 ,  0
1/25/20 , OK , 	0 ,  0
1/25/20 , OR , 	0 ,  0
1/25/20 , PA , 	0 ,  0
1/25/20 , RI , 	0 ,  0
1/25/20 , SC , 	0 ,  0
1/25/20 , SD , 	0 ,  0
1/25/20 , TN , 	0 ,  0
1/25/20 , TX , 	0 ,  0
1/25/20 , UT , 	0 ,  0
1/25/20 , VA , 	0 ,  0
1/25/20 , VT , 	0 ,  0
1/25/20 , WA , 	1 ,  0
1/25/20 , WI , 	0 ,  0
1/25/20 , WV , 	0 ,  0
1/25/20 , WY , 	0 ,  0
1/26/20 , AL , 	0 ,  0
1/26/20 , AR , 	0 ,  0
1/26/20 , AZ , 	1 ,  1
1/26/20 , CA , 	2 ,  2
1/26/20 , CO , 	0 ,  0
1/26/20 , CT , 	0 ,  0
1/26/20 , DE , 	0 ,  0
1/26/20 , FL , 	0 ,  0
1/26/20 , GA , 	0 ,  0
1/26/20 , HI , 	0 ,  0
1/26/20 , IA , 	0 ,  0
1/26/20 , ID , 	0 ,  0
1/26/20 , IL , 	1 ,  0
1/26/20 , IN , 	0 ,  0
1/26/20 , KS , 	0 ,  0
1/26/20 , KY , 	0 ,  0
1/26/20 , LA , 	0 ,  0
1/26/20 , MA , 	0 ,  0
1/26/20 , MD , 	0 ,  0
1/26/20 , ME , 	0 ,  0
1/26/20 , MI , 	0 ,  0
1/26/20 , MN , 	0 ,  0
1/26/20 , MO , 	0 ,  0
1/26/20 , MS , 	0 ,  0
1/26/20 , MT , 	0 ,  0
1/26/20 , NC , 	0 ,  0
1/26/20 , ND , 	0 ,  0
1/26/20 , NE , 	0 ,  0
1/26/20 , NH , 	0 ,  0
1/26/20 , NJ , 	0 ,  0
1/26/20 , NM , 	0 ,  0
1/26/20 , NV , 	0 ,  0
1/26/20 , NY , 	0 ,  0
1/26/20 , OH , 	0 ,  0
1/26/20 , OK , 	0 ,  0
1/26/20 , OR , 	0 ,  0
1/26/20 , PA , 	0 ,  0
1/26/20 , RI , 	0 ,  0
1/26/20 , SC , 	0 ,  0
1/26/20 , SD , 	0 ,  0
1/26/20 , TN , 	0 ,  0
1/26/20 , TX , 	0 ,  0
1/26/20 , UT , 	0 ,  0
1/26/20 , VA , 	0 ,  0
1/26/20 , VT , 	0 ,  0
1/26/20 , WA , 	1 ,  0
1/26/20 , WI , 	0 ,  0
1/26/20 , WV , 	0 ,  0
1/26/20 , WY , 	0 ,  0
1/27/20 , AL , 	0 ,  0
1/27/20 , AR , 	0 ,  0
1/27/20 , AZ , 	1 ,  0
1/27/20 , CA , 	2 ,  0
1/27/20 , CO , 	0 ,  0
1/27/20 , CT , 	0 ,  0
1/27/20 , DE , 	0 ,  0
1/27/20 , FL , 	0 ,  0
1/27/20 , GA , 	0 ,  0
1/27/20 , HI , 	0 ,  0
1/27/20 , IA , 	0 ,  0
1/27/20 , ID , 	0 ,  0
1/27/20 , IL , 	1 ,  0
1/27/20 , IN , 	0 ,  0
1/27/20 , KS , 	0 ,  0
1/27/20 , KY , 	0 ,  0
1/27/20 , LA , 	0 ,  0
1/27/20 , MA , 	0 ,  0
1/27/20 , MD , 	0 ,  0
1/27/20 , ME , 	0 ,  0
1/27/20 , MI , 	0 ,  0
1/27/20 , MN , 	0 ,  0
1/27/20 , MO , 	0 ,  0
1/27/20 , MS , 	0 ,  0
1/27/20 , MT , 	0 ,  0
1/27/20 , NC , 	0 ,  0
1/27/20 , ND , 	0 ,  0
1/27/20 , NE , 	0 ,  0
1/27/20 , NH , 	0 ,  0
1/27/20 , NJ , 	0 ,  0
1/27/20 , NM , 	0 ,  0
1/27/20 , NV , 	0 ,  0
1/27/20 , NY , 	0 ,  0
1/27/20 , OH , 	0 ,  0
1/27/20 , OK , 	0 ,  0
1/27/20 , OR , 	0 ,  0
1/27/20 , PA , 	0 ,  0
1/27/20 , RI , 	0 ,  0
1/27/20 , SC , 	0 ,  0
1/27/20 , SD , 	0 ,  0
1/27/20 , TN , 	0 ,  0
1/27/20 , TX , 	0 ,  0
1/27/20 , UT , 	0 ,  0
1/27/20 , VA , 	0 ,  0
1/27/20 , VT , 	0 ,  0
1/27/20 , WA , 	1 ,  0
1/27/20 , WI , 	0 ,  0
1/27/20 , WV , 	0 ,  0
1/27/20 , WY , 	0 ,  0
1/28/20 , AL , 	0 ,  0
1/28/20 , AR , 	0 ,  0
1/28/20 , AZ , 	1 ,  0
1/28/20 , CA , 	2 ,  0
1/28/20 , CO , 	0 ,  0
1/28/20 , CT , 	0 ,  0
1/28/20 , DE , 	0 ,  0
1/28/20 , FL , 	0 ,  0
1/28/20 , GA , 	0 ,  0
1/28/20 , HI , 	0 ,  0
1/28/20 , IA , 	0 ,  0
1/28/20 , ID , 	0 ,  0
1/28/20 , IL , 	1 ,  0
1/28/20 , IN , 	0 ,  0
1/28/20 , KS , 	0 ,  0
1/28/20 , KY , 	0 ,  0
1/28/20 , LA , 	0 ,  0
1/28/20 , MA , 	0 ,  0
1/28/20 , MD , 	0 ,  0
1/28/20 , ME , 	0 ,  0
1/28/20 , MI , 	0 ,  0
1/28/20 , MN , 	0 ,  0
1/28/20 , MO , 	0 ,  0
1/28/20 , MS , 	0 ,  0
1/28/20 , MT , 	0 ,  0
1/28/20 , NC , 	0 ,  0
1/28/20 , ND , 	0 ,  0
1/28/20 , NE , 	0 ,  0
1/28/20 , NH , 	0 ,  0
1/28/20 , NJ , 	0 ,  0
1/28/20 , NM , 	0 ,  0
1/28/20 , NV , 	0 ,  0
1/28/20 , NY , 	0 ,  0
1/28/20 , OH , 	0 ,  0
1/28/20 , OK , 	0 ,  0
1/28/20 , OR , 	0 ,  0
1/28/20 , PA , 	0 ,  0
1/28/20 , RI , 	0 ,  0
1/28/20 , SC , 	0 ,  0
1/28/20 , SD , 	0 ,  0
1/28/20 , TN , 	0 ,  0
1/28/20 , TX , 	0 ,  0
1/28/20 , UT , 	0 ,  0
1/28/20 , VA , 	0 ,  0
1/28/20 , VT , 	0 ,  0
1/28/20 , WA , 	1 ,  0
1/28/20 , WI , 	0 ,  0
1/28/20 , WV , 	0 ,  0
1/28/20 , WY , 	0 ,  0
1/29/20 , AL , 	0 ,  0
1/29/20 , AR , 	0 ,  0
1/29/20 , AZ , 	1 ,  0
1/29/20 , CA , 	2 ,  0
1/29/20 , CO , 	0 ,  0
1/29/20 , CT , 	0 ,  0
1/29/20 , DE , 	0 ,  0
1/29/20 , FL , 	0 ,  0
1/29/20 , GA , 	0 ,  0
1/29/20 , HI , 	0 ,  0
1/29/20 , IA , 	0 ,  0
1/29/20 , ID , 	0 ,  0
1/29/20 , IL , 	1 ,  0
1/29/20 , IN , 	0 ,  0
1/29/20 , KS , 	0 ,  0
1/29/20 , KY , 	0 ,  0
1/29/20 , LA , 	0 ,  0
1/29/20 , MA , 	0 ,  0
1/29/20 , MD , 	0 ,  0
